tam_loc_enh,est_socio_enh,genero,edad,parentesco,Residencia,esc-padre,Lengua_ing_m,esc_madre,esc-entrevistado,prom_edu_padre,dif_escp_esm,dif_resi
2,2,1,32,1,1,2,2,3,3,3,-1,0
2,2,2,51,2,1,2,2,6,4,5,-4,0
2,2,1,36,1,,4,2,4,4,6,0,1
2,2,2,47,1,,99,2,3,3,100,96,1
2,2,2,38,2,1,2,2,6,3,5,-4,0
2,2,1,32,3,1,3,2,6,10,6,-3,0
2,2,2,40,2,1,2,2,3,7,3,-1,0
2,3,1,35,5,,2,2,2,3,3,0,1
2,3,2,47,1,,2,2,2,4,3,0,1
2,3,2,26,2,,2,2,3,4,3,-1,1
2,3,1,33,1,,2,2,6,3,5,-4,1
2,3,2,54,1,1,2,2,1,12,2,1,0
2,3,1,55,1,1,2,2,2,4,3,0,0
2,3,2,62,2,1,2,2,2,2,3,0,0
2,3,2,30,3,1,2,2,6,4,5,-4,0
2,3,1,40,1,1,2,2,4,4,4,-2,0
2,3,2,54,2,1,2,2,6,3,5,-4,0
2,3,2,43,3,1,2,2,3,10,3,-1,0
2,3,2,38,2,1,4,2,3,4,5,1,0
2,2,2,39,2,1,2,2,4,7,4,-2,0
2,2,2,46,1,,2,2,1,11,2,1,1
2,2,2,38,2,1,3,2,6,4,6,-3,0
2,2,2,27,2,1,8,2,6,4,11,2,0
2,2,2,36,2,,3,2,5,9,5,-2,1
2,2,2,35,2,,2,2,5,4,4,-3,1
2,2,2,33,2,1,2,2,3,3,3,-1,0
2,2,1,26,1,1,3,2,4,3,5,-1,0
2,2,2,42,2,1,2,2,3,2,3,-1,0
2,2,1,25,1,,2,2,6,4,5,-4,1
2,2,1,29,1,1,3,2,6,10,6,-3,0
2,2,1,41,1,,3,2,6,3,6,-3,1
2,2,2,31,3,1,2,2,3,3,3,-1,0
2,2,2,40,2,1,2,2,6,7,5,-4,0
2,2,1,38,1,1,2,2,3,3,3,-1,0
2,2,1,28,1,,3,2,6,4,6,-3,1
2,2,1,41,1,,2,2,6,4,5,-4,1
2,2,2,56,2,,2,2,3,3,3,-1,1
2,2,1,38,1,1,2,2,3,4,3,-1,0
2,2,2,28,2,1,2,2,3,3,3,-1,0
2,2,1,28,3,,2,2,6,3,5,-4,1
2,2,1,26,5,1,2,2,3,3,3,-1,0
3,2,2,25,3,,2,2,3,3,3,-1,1
3,2,1,28,1,,3,2,3,3,4,0,1
3,2,1,51,1,1,2,2,2,10,3,0,0
3,2,2,46,2,,2,2,3,3,3,-1,1
3,2,2,32,1,1,2,2,6,3,5,-4,0
3,2,2,36,1,,2,2,5,3,4,-3,1
3,2,1,31,1,1,3,2,6,3,6,-3,0
3,2,1,36,1,1,5,2,3,11,6,2,0
3,2,2,37,1,1,2,2,2,3,3,0,0
3,2,2,53,2,1,2,2,2,2,3,0,0
3,2,1,29,3,1,2,2,6,9,5,-4,0
3,2,1,32,3,1,3,2,4,10,5,-1,0
3,3,2,45,1,,2,2,2,3,3,0,1
3,3,2,39,2,,2,2,2,11,3,0,1
3,3,1,32,3,,10,2,3,10,11,7,1
3,3,2,28,2,,3,2,6,10,6,-3,1
3,3,2,30,2,1,3,2,3,11,4,0,0
3,3,1,28,9,,3,2,3,10,4,0,1
3,3,1,34,1,1,2,2,1,10,2,1,0
3,3,1,53,1,,2,2,3,11,3,-1,1
3,3,1,33,1,1,8,2,3,10,9,5,0
3,3,1,57,1,,2,2,4,9,4,-2,1
3,3,1,35,1,1,2,2,6,10,5,-4,0
3,3,1,38,1,1,10,2,2,4,11,8,0
3,3,1,28,1,1,3,2,3,4,4,0,0
3,3,1,45,1,1,2,2,6,10,5,-4,0
3,3,2,34,2,,3,2,6,10,6,-3,1
3,3,2,48,2,1,2,2,2,5,3,0,0
3,2,2,47,2,1,2,2,1,3,2,1,0
3,2,2,46,2,1,2,2,4,2,4,-2,0
3,2,2,42,1,,2,2,3,2,3,-1,1
3,2,1,53,1,,2,2,3,9,3,-1,1
3,2,1,61,1,,2,2,3,6,3,-1,1
3,2,2,40,1,,2,2,6,4,5,-4,1
3,2,2,39,2,,2,2,3,2,3,-1,1
3,2,2,52,1,,2,2,3,2,3,-1,1
3,2,2,56,1,,2,2,1,3,2,1,1
3,2,2,39,2,,2,2,3,3,3,-1,1
3,2,2,25,3,,2,2,4,4,4,-2,1
1,4,2,55,1,,10,2,3,10,11,7,1
1,4,2,35,3,1,11,2,3,10,12,8,0
4,2,2,36,2,,2,2,6,2,5,-4,1
4,2,2,40,2,1,2,2,2,7,3,0,0
4,2,2,54,2,1,2,2,4,7,4,-2,0
4,2,1,52,1,1,2,2,6,3,5,-4,0
4,2,2,26,2,1,4,1,6,4,7,-2,0
4,2,2,36,3,,2,2,3,7,3,-1,1
4,2,2,33,3,1,2,2,4,3,4,-2,0
4,2,1,28,1,1,2,2,3,3,3,-1,0
4,2,2,33,2,,2,2,3,2,3,-1,1
4,2,2,46,3,1,2,2,4,12,4,-2,0
4,2,2,36,2,1,2,2,6,3,5,-4,0
4,2,2,26,1,1,2,2,4,2,4,-2,0
4,2,1,25,1,1,2,2,3,3,3,-1,0
4,2,2,56,1,,2,2,3,3,3,-1,1
4,2,2,51,8,,2,2,6,4,5,-4,1
4,2,1,35,3,,2,2,3,2,3,-1,1
4,2,1,44,1,1,2,2,3,2,3,-1,0
4,2,2,37,2,,2,2,5,2,4,-3,1
4,2,2,37,2,,2,2,3,2,3,-1,1
4,2,1,50,1,,2,2,5,2,4,-3,1
4,2,1,53,1,1,2,2,6,2,5,-4,0
4,2,2,32,2,1,2,2,4,3,4,-2,0
4,2,1,40,1,1,2,2,3,2,3,-1,0
4,2,2,38,2,1,2,2,3,3,3,-1,0
4,2,2,36,2,,2,2,3,2,3,-1,1
4,2,2,31,3,,2,2,6,2,5,-4,1
4,2,2,32,2,1,2,2,3,2,3,-1,0
4,2,2,35,1,1,3,2,3,3,4,0,0
4,2,2,43,2,1,2,2,5,3,4,-3,0
4,2,1,35,1,,2,2,1,3,2,1,1
4,2,1,33,1,,2,2,5,3,4,-3,1
4,2,2,43,1,1,2,2,3,2,3,-1,0
4,2,2,29,2,1,2,2,6,2,5,-4,0
4,2,2,32,2,1,2,2,3,2,3,-1,0
4,2,2,42,2,,2,2,3,2,3,-1,1
4,2,2,49,2,,2,2,2,3,3,0,1
4,2,2,27,3,,2,2,6,2,5,-4,1
4,2,2,44,2,,2,2,3,2,3,-1,1
4,2,1,28,3,1,2,2,6,3,5,-4,0
4,2,1,53,1,1,2,2,3,3,3,-1,0
4,2,2,56,2,1,2,2,2,2,3,0,0
4,2,1,64,1,1,2,2,2,2,3,0,0
4,2,1,62,1,1,2,2,4,2,4,-2,0
4,2,2,44,2,1,2,2,6,3,5,-4,0
4,2,2,28,1,1,2,2,3,3,3,-1,0
4,2,2,29,3,1,2,2,6,3,5,-4,0
4,2,2,25,2,,3,2,3,8,4,0,1
4,2,2,42,2,,3,2,3,2,4,0,1
4,2,2,45,2,,2,2,6,2,5,-4,1
4,2,1,27,5,,2,2,6,3,5,-4,1
4,2,1,39,1,,2,2,6,3,5,-4,1
4,2,2,42,2,,2,2,3,2,3,-1,1
4,2,1,32,1,1,2,2,3,3,3,-1,0
4,2,2,25,2,1,10,2,3,3,11,7,0
4,2,2,32,2,1,10,2,4,4,12,6,0
4,2,2,26,2,,9,2,3,10,10,6,1
4,2,2,55,1,1,2,2,5,3,4,-3,0
4,2,2,25,3,,3,2,6,4,6,-3,1
4,2,2,31,1,,3,2,6,8,6,-3,1
4,2,1,25,1,,2,2,3,3,3,-1,1
4,2,2,46,2,1,2,2,6,2,5,-4,0
4,2,1,25,1,1,2,2,6,2,5,-4,0
4,2,2,58,2,,2,2,1,2,2,1,1
4,2,1,47,1,1,2,2,2,4,3,0,0
4,2,2,26,2,1,2,2,6,3,5,-4,0
4,2,2,33,2,1,11,2,4,11,13,7,0
4,2,2,48,2,,4,2,5,10,6,-1,1
4,2,1,36,1,1,2,2,2,3,3,0,0
